variety,variety_ID,clone_ID,clone_num,year,bud_day,flow_day,ver_day,mat_day
Graciano,9,2 R1 s46 50,4,1994,NA,NA,NA,9/9/94
Bovale sardo,94,7 18 S3,6,1985,NA,NA,NA,3/10/85
Tinta miuda,9,4 37 S4,6,1974,NA,NA,NA,23/09/1974
Tinta miuda,9,4 37 S4,4,1973,NA,NA,NA,12/9/73
Listan,28,5 14 A 7 et 8,4,1981,NA,NA,NA,14/09/1981
Counoise,63,140S3,4,1988,NA,NA,NA,15/09/1988
Counoise,63,11 20 56 9,5,1991,NA,NA,NA,16/09/1991
Counoise,63,5 15 S 6,5,1977,NA,NA,NA,23/09/1977
Marsanne,,6 1 A 6,4,1981,NA,NA,NA,14/09/1981
Marsanne,,6 1 A 6,4,1972,NA,NA,NA,11/9/75
Roussanne,147,3 R14 s 166 - 180,5,1991,NA,NA,NA,18/09/1991
Roussanne,147,106 s4 s 1-2,6,1968,NA,NA,NA,25/09/1968
Roussanne,147,3 R14 s 166 a 180,5,1992,NA,NA,NA,18/09/1992
Syrah,150, 9 15 A1 A2 A3,5,1969,NA,NA,NA,26/09/1969
Syrah,150,5 22 A 11,6,1969,NA,NA,NA,25/09/1968
Syrah,150,5 18 A 3 5 22 A 11,3,1967,NA,NA,NA,6/9/67
Syrah,150,,3,1967,NA,NA,NA,2/9/67
Syrah,150,cl 4 P14 A 10,4,1965,NA,NA,NA,15/09/1965
Aligote,202,Ang R22 Ws4650,3,1991,NA,NA,NA,5/9/91
Aligote,202,Ang R22 W s41 45,2,1990,NA,NA,NA,23/08/1990
Aligote,202,4 12 S9,3,1978,NA,NA,NA,12/9/78
Sauvagette,148,Lago R39 s111.115,5,1991,NA,NA,NA,16/09/1991
Harsanne,148,6 1 A6,6,1989,NA,NA,NA,18/09/1989
Horrastel,903,6 11 A9,6,1977,NA,NA,NA,26/09/1977
Chardonnay,199,Ang W R ,4,1996,NA,NA,NA,10/9/96
Chardonnay,199,Ang R21 W S21.25,2,1995,NA,NA,NA,30/08/1995
Chardonnay,199,Ang R21 W S21.25,2,1995,NA,NA,NA,30/08/1995
Chardonnay,199,Ang 22 W S1.5,3,1994,NA,NA,NA,30/08/1994
Chardonnay,199,Ang R21 W  S31.35 ,4,1994,NA,NA,NA,6/9/94
Chardonnay,199,Ang R21 W s81.60,2,1992,NA,NA,NA,27/08/1992
Chardonnay,199,Ang R21 W s16.20,2,1990,NA,NA,NA,23/08/1990
Chardonnay,199,4 12 S3 4 5 6 7,3,1989,NA,NA,NA,28/08/1989
Chardonnay,199,10 14 S 5-6,2,1987,NA,NA,NA,2/9/87
Chardonnay,199,10 14 S 5.6.7,2,1986,NA,NA,NA,4/9/86
Chardonnay,199,10 14 S6-7,2,1985,NA,NA,NA,5/9/85
Chardonnay,199,10 14 S5.6.7 9,1,1984,NA,NA,NA,6/9/84
Chardonnay,199,10 14 S6.7 9,2,1983,NA,NA,NA,1/9/83
Chardonnay,199,10 14 S5-6-7-9 4 12 S7,3,1982,NA,NA,NA,2/9/82
Chardonnay,199,10 14 S5.6.7 9,3,1981,NA,NA,NA,11/9/81
Chardonnay,199,10 14 S5.6.7 9,2,1980,NA,NA,NA,10/9/80
Chardonnay,199,4 12 S7 .15.14 S 5.7.9,3,1979,NA,NA,NA,4/9/79
Chardonnay,199,4 12 S7.10.14 S 5.7.9,3,1978,NA,NA,NA,12/9/78
Chardonnay,199,4 12 S3-4-5-6-7,3,1977,NA,NA,NA,7/9/77
Chardonnay,199,4 12 S4 et 4 12 S5,2,1976,NA,NA,NA,26/08/1976
