variety,variety_ID,clone_ID,clone_num,year,bud_day,flow_day,ver_day,mat_day,notes,File info
Counoise,63,,1,1956,7/4/1956,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,1,1957,20/3/1957,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,1,1958,12/4/1958,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,1,1959,1/4/1958,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,2,1956,3/4/1956,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,2,1957,19/3/1957,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,2,1958,1/4/1958,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,3,1957,12/3/1957,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,3,1958,2/4/1958,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,3,1959,27/3/1959,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,3,1960,20/3/1960,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,4,1957,17/3/1957,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,4,1958,2/4/1958,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,4,1959,29/3/1959,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,4,1960,20/3/1960,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,5,1956,5/4/1956,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,5,1957,21/3/1957,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,5,1958,10/4/1958,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,5,1959,2/4/1959,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,5,1960,31/3/1960,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,6,1956,2/4/1956,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,6,1957,29/3/1957,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,6,1958,1/4/1958,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,6,1959,31/3/1959,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,6,1960,24/3/1960,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,7,1958,4/4/1958,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,7,1959,3/4/1959,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,7,1960,18/3/1960,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,7,1961,26/3/1961,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,7,1962,16/4/1962,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,8,1971,8/4/1971,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,8,1972,31/3/1972,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,8,1973,12/4/1973,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,8,1974,30/3/1974,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,8,1975,28/3/1975,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,8,1976,29/3/1976,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,8,1981,27/3/1981,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,9,1974,30/3/1974,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,9,1975,28/3/1975,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,9,1976,29/3/1976,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,11,1971,1/4/1971,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,11,1972,22/3/1972,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,11,1973,31/3/1973,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,11,1974,20/3/1974,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,12,1970,13/4/1970,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,12,1971,20/9/1971,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,12,1972,29/3/1973,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,13,1976,2/4/1976,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,13,1977,29/3/1977,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,13,1978,28/3/1978,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,14,1980,24/3/1980,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,14,1981,29/3/1981,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,14,1982,1/4/1982,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,15,1973,5/4/1973,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,15,1975,24/1975,,,,,2015-07-07 14.00.40.jpg
Counoise,63,,15,1976,22/3/1976,,,,,2015-07-07 14.00.40.jpg
Counoise,63,10S72,1,1956,,,,17/9/1956,,2015-07-07 14.00.34.jpg
Counoise,63,10S72,1,1957,,,,24/9/1957,,2015-07-07 14.00.34.jpg
Counoise,63,10S72,1,1958,,,,4/9/1958,,2015-07-07 14.00.34.jpg
Counoise,63,10S72,1,1959,,,,7/9/1959,,2015-07-07 14.00.34.jpg
Counoise,63,10S72,1,1960,,,,31/8/1960,,2015-07-07 14.00.34.jpg
Counoise,63,515S5,2,1956,,,,10/9/1956,,2015-07-07 14.00.34.jpg
Counoise,63,515S5,2,1957,,,,23/9/1957,,2015-07-07 14.00.34.jpg
Counoise,63,515S5,2,1958,,,,10/9/1958,,2015-07-07 14.00.34.jpg
Counoise,63,515S5,2,1959,,,,31/8/1959,,2015-07-07 14.00.34.jpg
Counoise,63,14A156,3,1956,,,,17/9/1956,,2015-07-07 14.00.34.jpg
Counoise,63,14A156,3,1957,,,,10/9/1957,,2015-07-07 14.00.34.jpg
Counoise,63,14A156,3,1958,,,,28/8/1958,,2015-07-07 14.00.34.jpg
Counoise,63,515S6,4,1956,,,,11/9/1956,,2015-07-07 14.00.34.jpg
Counoise,63,515S6,4,1957,,,,10/9/1957,,2015-07-07 14.00.34.jpg
Counoise,63,515S6,4,1958,,,,28/8/1958,,2015-07-07 14.00.34.jpg
Counoise,63,10S76,5,1956,,,,17/9/1956,,2015-07-07 14.00.34.jpg
Counoise,63,10S76,5,1957,,,,2/10/1957,,2015-07-07 14.00.34.jpg
Counoise,63,10S76,5,1958,,,,4/9/1958,,2015-07-07 14.00.34.jpg
Counoise,63,10S76,5,1959,,,,7/9/1959,,2015-07-07 14.00.34.jpg
Counoise,63,9S111,6,1956,,,,10/9/1956,,2015-07-07 14.00.34.jpg
Counoise,63,9S111,6,1957,,,,16/9/1957,,2015-07-07 14.00.34.jpg
Counoise,63,9S111,6,1958,,,,28/8/1958,,2015-07-07 14.00.34.jpg
Counoise,63,9S111,6,1959,,,,7/9/1959,,2015-07-07 14.00.34.jpg
Counoise,63,41255,7,1959,,,,7/9/1959,,2015-07-07 14.00.34.jpg
Counoise,63,41255,7,1960,,,,5/9/1960,,2015-07-07 14.00.34.jpg
Counoise,63,41255,7,1961,,,,28/8/1961,,2015-07-07 14.00.34.jpg
Counoise,63,41255,7,1962,,,,10/9/1962,,2015-07-07 14.00.34.jpg
Counoise,63,620S6,8,1971,,,,14/9/1971,,2015-07-07 14.00.34.jpg
Counoise,63,620S6,8,1973,,,,10/9/1973,,2015-07-07 14.00.34.jpg
