variety,variety_ID,clone_ID,clone_num,year,bud_day,flow_day,ver_day,mat_day,notes,File info,,,
Chardonnay ,199,412S4S8,4,1973,30/8/1973,,,13/2/1974,,2015-07-07 16.05.38.jpg,,,
Tempranillo,1369,713S1,9,1981,18/9/1981,,,26/2/1982,,2015-07-12 18.57.20.jpg,,,
Negro Amaro,,427A16,,1971,23/9/1971,,,18/2/1972,"variety ID, clone number not given",2015-07-12 18.23.25.jpg,,,
Forastera,2601,132S1,,1972,20/7/1972,,,21/2/1975,clone number not given,2015-07-12 18.44.20.jpg,,,
Alicante Henri Bouchet,514,2R6S31a45,,1991,23/9/1991,,,10/2/92,clone number not given,2015-07-12 16.52.44.jpg,,,
Grignolino,2041,H25A8,,1988,16/9/1988,,,31/1/1989,clone number not given,2015-07-12 18.13.05.jpg,,,
Alicante Henri Bouchet,514,11A152,,1964,27/8/1964,,,22/1/1965,", clone number not given",2015-07-12 16.53.10.jpg,,,
Manseng petit,418,2R1207175,,1992,16/9/1992,,,19/2/1993,clone number not given,2015-07-12 16.42.37.jpg,,,
Tannat,401,3R10S7680,,1989,12/9/89,,,2/2/90,clone number not given,2015-07-12 16.44.59.jpg,,,
Viognier,189,Ang Ry30E0610,,1990,23/8/1990,,,28/1/1991,clone number not given,2015-07-07 16.28.37.jpg,,,
Sauvignon rouge,302,916A2,3,1977,9/9/77,,,3/2/78,,2015-07-12 16.38.18.jpg,,,
Chasselas,585,69S9,,1991,11/9/91,,,3/2/92,clone number not given,2015-07-12 17.06.59.jpg,,,
Merlot,326,524S11,4,1965,28/9/1965,,,1/7/66,,2015-07-07 18.26.26.jpg,,,
Vespolino,1328,78S9,,1981,17/9/1981,,,26/2/1982,clone number not given,2015-07-12 18.07.12.jpg,,,
Verdelho,316,421A9,,1988,13/9/1988,,,27/1/1989,clone number not given,2015-07-14 16.43.48.jpg,,,
Arneis,2391,Ang 37ES2125,,1995,12/9/95,,,23/2/1996,clone number not given,2015-07-12 18.14.44.jpg,,,
Ribiolla gialla,1294,96S1,,1970,25/9/1970,,,1/4/71,clone number not given,2015-07-12 18.28.15.jpg,,,
Barbera,1239,130S1,6,1993,10/9/93,,,14/2/1994,,2015-07-12 17.52.26.jpg,,,
Riesling italico,1243,96S4,,1989,29/8/1989,,,30/1/1990,clone number not given,2015-07-12 18.00.26.jpg,,,
Riesling italico,1243,Ang32W315,,1995,12/9/95,,,23/2/1996,clone number not given,2015-07-12 18.00.21.jpg,,,
Souzao,1483,94A6,,1989,18/9/1989,,,6/2/90,clone number not given,2015-07-14 17.11.41.jpg,,,   
Rhoditis......,1779,520A12,,1966,4/10/66,,,19/1/1967,clone number not given,2015-07-14 17.29.47.jpg,,,
Szemendriai dimiat,1666,81A1,,1981,21/9/1981,,,5/3/82,clone number not given,2015-07-14 17.36.56 HDR.jpg,,,
Zinfandel,,514S5,6,1982,8/9/82,,,28/2/1983,variety ID not given,2015-07-12 18.25.35.jpg,,,
Souzao,1483,7A2A7,,1968,17/9/1968,,,25/4/1969,clone number not given,2015-07-14 17.11.51 HDR.jpg,,,
Tinta barroca,2823,414A13,,1989,1/9/89,,,2/2/90,clone number not given,2015-07-12 19.18.26.jpg,,,
Aglianico,1259,75A8,,1981,17/9/1981,,,26/2/1982,clone number not given,2015-07-12 18.37.48.jpg,,,
Verdelho du Dao,296,715A1,,1988,13/9/1988,,,27/1/1989,clone number not given,2015-07-14 16.32.52.jpg,,,
Tinta Cao,1488,713A2,,1965,2/9/65,,,1/7/66,clone number not given,2015-07-12 19.14.34.jpg,,,
Grignolino,1488,426A11,,1971,8/9/71,,,8/2/72,clone number not given,2015-07-12 18.13.11.jpg,,,
Souzao,1483,Ang R8WA2125,1,1994,15/9/1994,,,17/2/1995,,2015-07-14 17.11.30.jpg,,,
Ezerjo,1612,Ang 232WS3640,,1995,30/8/1995,,,23/2/1996,clone number not given,2015-07-14 16.53.52.jpg,,,
Barbera,1239,130S1,6,1989,12/9/89,,,2/2/90,,2015-07-12 17.52.32.jpg,,,
Cortese bianco,1256,425A6,,1966,31/8/1966,,,6/2/67,clone number not given,2015-07-12 18.04.44.jpg,,,
Verdelho de madere,316,421A9,,1991,17/9/1991,,,3/2/92,clone number not given,2015-07-04 16.43.41.jpg,,,
Pinotage,2574,135S6,,1995,29/8/1995,,,23/2/1996,clone number not given,2015-07-14 17.47.29 HDR-2.jpg,,,
Rhoditis,1779,92A7,,1989,12/9/89,,,29/1/1990,clone number not given,2015-07-14 17.29.54 HDR.jpg,,,
Periquita,1521,915S4,5,1990,4/9/90,,,7/2/91,,2015-07-14 16.21.27.jpg,,,
Dolcetto,1244,531S11,,1966,23/8/1966,,,2/6/67,clone number not given,2015-07-12 18.03.04.jpg,,,
Souzao,1483,612A7,,1968,17/9/1968,,,25/4/1969,clone number not given,2015-07-14 17.11.51.jpg,,,
Chardonnay ,199,8A141,,1961,19/8/1961,,,15/2/1962,clone number not given,2015-07-07 16.06.49.jpg,,,
Auxerrois blanc,279,12S109,,1961,19/8/1961,,,24/5/1962,clone number not given,2015-07-07 16.37.32.jpg,,,
Gamay noir,230,1014AlaA5,3,1965,3/9/65,,,7/9/65,,2015-07-07 16.42.06.jpg,,,
Carmenere,323,37S91100,,1995,12/9/95,,,23/2/1996,clone number not given,2015-07-07 17.49.36.jpg,,,
Carmanere,323,53A8S12,4,1985,9/9/85,,,3/2/86,,2015-07-07 17.49.48.jpg,,,
Carmanere,323,7A139,,1961,26/8/1961,,,1962,clone number not given,2015-07-07 17.50.03.jpg,,,
Cot,327,lago R37S51.55,40,1994,12/9/94,,,17/2/1995,,2015-07-07 18.06.24.jpg,,,
Cot,327,53S3,,1990,10/9/90,,,7/2/91,clone number not given,2015-07-07 18.06.42.jpg,,,
Merlot,326,lago R37S156160,2,1994,12/9/94,,,17/2/1995,,2015-07-07 18.25.26.jpg,,,
Nebbiolo,1240,425A15,,1970,14/9/1970,,,1/4/71,clone number not given,2015-07-12 17.56.47.jpg,,,
Merlot ,326,521S11,4,1962,6/7/62,,,8/12/62,,2015-07-07 18.26.32.jpg,,,
Negrette,432,58A8,3,1977,9/9/77,,,3/2/78,,2015-07-12 16.49.10.jpg,,,
Merlot ,326,F7R9,,1971,30/9/1971,,,18/2/1972,clone number not given,2015-07-07 18.27.07.jpg,,,
Danugue,666,42A1,,1964,14/9/1964,,,22/1/1965,clone number not given,2015-07-12 17.13.20.jpg,,,
Merlot,326,cl12P8A5,,1959,3/9/59,,,23/11/1959,clone number not given,2015-07-07 18.27.12.jpg,,,
Sauvignon rouge,302,lago 36S6670,,1995,12/9/95,,,23/2/1996,clone number not given,2015-07-12 16.37.58.jpg,,,
Tannat,401,2280166180,,1991,23/9/1991,,,10/2/92,clone number not given,2015-07-12 16.44.51.jpg,,,
Sauvignon rouge,302,51A8,,1988,7/9/88,,,10/3/89,clone number not given,2015-07-12 16.38.06.jpg,,,
Sauvignon rouge,302,916A2,,1981,11/9/81,,,26/2/1982,clone number not given,2015-07-12 16.38.12.jpg,,,
Danugue,666,4R408185,,1997,22/8/1997,,,,"clone number,mat_day not given",2015-07-12 17.13.04.jpg,,,
Petit manseng,418,9A143144145,,1961,30/8/1961,,,2/5/62,clone number not given,2015-07-12 16.42.29.jpg,,,
Petit manseng,418,5752,,1990,10/9/90,,,28/1/1991,clone number not given,2015-07-12 16.42.44.jpg,,,
Tannat,401,1027A8,,1980,22/9/1980,,,2/4/81,clone number not given,2015-07-12 16.45.06.jpg,,,
Negrette,432,58A2,,1990,10/9/90,,,7/2/91,clone number not given,2015-07-12 16.48.54.jpg,,,
Alicante Henri Bouchet,514,7R2S351355,8,1998,15/9/1998,,,16/3/1999,,2015-07-12 16.52.38.jpg,,,
Alicante Henri Bouchet,514,7R2S356360,7,1998,31/8/1998,,,,"clone number,mat_day not given",2015-07-12 16.52.30.jpg,,,
Lignan blanc,646,Lago RAS6670,,1997,27/8/1997,,,,"clone number,mat_day not given",2015-07-12 17.09.19.jpg,,,
Dolcetto ,1244,lago R54S151155,,1994,6/9/94,,,17/2/1995,clone number not given,2015-07-12 18.03.18.jpg,,,
Danugue,666,817A6,,1991,18/9/1991,,,10/2/92,clone number not given,2015-07-12 17.13.09.jpg,,,
Danugue,666,42A1,3,1966,20/9/1966,,,2/6/67,,2015-07-12 17.13.15.jpg,,,
Alicante Henri Bouchet,514,2R6S31A45,,1991,23/9/1991,,,10/2/92,clone number not given,2015-07-12 16.52.44.jpg,,,
Sangiovese,1241,813S4,7,1981,18/9/1981,,,26/2/1982,,2015-07-12 18.19.07.jpg,,,
Dolcetto,1244,LagoR54S151155,,1995,5/9/95,,,23/2/1996,clone number not given,2015-07-12 18.03.13.jpg,,,
Parellada,1456,710SG,,1989,19/9/1989,,,29/1/1990,clone number not given,2015-07-12 18.49.11.jpg,,,
Bianchetta,1561,R37ES6165,,1989,7/9/89,,,30/1/1990,clone number not given,2015-07-12 18.10.11.jpg,,,
Grignolino,2041,425A8,,1970,14/9/1970,,,1/4/71,clone number not given,2015-07-12 18.13.17.jpg,,,
Tinta carvalha,1486,R10WS1115,,1993,8/9/93,,,14/2/1994,clone number not given,2015-07-12 19.10.40.jpg,,,
Negro Amaro,1276,427A16,3,1988,16/9/1988,,,10/3/89,,2015-07-12 18.23.18.jpg,,,
Tempranillo,1369,12S112,,1962,3/9/62,,,8/12/62,clone number not given,2015-07-12 18.58.08.jpg,,,
Alicante Henri Bouchet,514,54S9,,1981,14/9/1981,,,26/2/1982,clone number not given,2015-07-12 16.53.02.jpg,,,
Sangiovese,1241,lagoR51S136140,10,1982,15/9/1982,,,28/2/1983,,2015-07-12 18.18.59.jpg,,,
Daphni,263,75A1,,1992,15/9/1992,,,19/2/1993,clone number not given,2015-07-14 17.19.22.jpg,,,
Parellada,1456,16S146045,3,1966,8/9/66,,,6/2/67,,2015-07-12 18.49.17.jpg,,,
Rhoditis,1779,92A7,,1989,12/9/89,,,29/1/1990,clone number not given,2015-07-14 17.29.53.jpg,,,
Pedro Ximenez,1212,131A4,,1988,15/9/1988,,,27/1/1989,clone number not given,2015-07-12 18.53.07.jpg,,,
Tempranillo,1369,124A2,2,1972,21/9/1972,,,28/6/1973,,2015-07-12 18.57.32.jpg,,,
Dolcetto,1244,6R1S156160,,2000,18/9/2000,,,14/02/2001,clone number not given,2015-07-12 18.03.24.jpg,,,
