variety,variety_ID,clone_ID,clone_num,year,bud_day,flow_day,ver_day,mat_day
Aramon_Noir,22,22Mpt1,NA,1958,26/3/58,NA,NA,12/9/58
Aramon_Noir,22,22Mpt1,NA,1959,21/3/59,NA,NA,14/9/59
Aramon_Noir,22,22Mpt1,NA,1960,9/3/60,NA,NA,2/9/61
Aramon_Noir,22,22Mpt1,NA,1962,5/4/62,NA,NA,17/9/62
Aramon_Noir,22,22Mpt1,NA,1963,11/4/63,NA,NA,23/9/63
Aramon_Noir,22,22Mpt1,NA,1964,1/4/64,NA,NA,15/9/64
Aramon_Noir,22,22Mpt1,NA,1965,3/4/65,NA,NA,20/9/65
Aramon_Noir,22,22Mpt1,NA,1976,NA,NA,2/8/76,NA
Aramon_Noir,22,22Mpt1,NA,1977,NA,NA,16/8/77,NA
Aramon_Noir,22,22Mpt1,NA,1978,NA,NA,10/8/78,NA
Aramon_Noir,22,22Mpt1,NA,1981,26/3/81,NA,NA,NA
Aramon_Noir,22,22Mpt1,NA,1983,22/3/83,NA,NA,NA
Aramon_Noir,22,22Mpt1,NA,1986,24/3/86,NA,NA,NA
Aramon_Noir,22,22Mpt1,NA,1994,NA,28/5/94,NA,NA
Aramon_Noir,22,22Mpt1,NA,1995,NA,3/6/95,NA,NA
Aramon_Noir,22,22Mpt1,NA,1996,NA,3/6/96,5/8/96,NA
Aramon_Noir,22,22Mpt1,NA,1997,3/3/97,17/5/97,4/8/97,8/9/97
Aramon_Noir,22,22Mpt1,NA,1998,18/3/98,27/5/98,4/8/98,10/9/98
Aramon_Noir,22,22Mpt1,NA,1999,17/3/99,27/5/99,10/8/99,15/9/99
Aramon_Noir,22,22Mpt1,NA,2000,17/3/00,29/5/00,7/8/00,18/9/00
Aramon_Noir,22,22Mpt1,NA,2003,17/3/03,30/5/03,8/8/03,1/9/03
Aramon_Noir,22,22Mpt1,NA,2004,16/3/04,7/6/04,12/8/04,24/8/04
Aramon_Noir,22,22Mpt1,NA,2005,1/4/05,3/6/05,11/8/05,6/9/05
Aramon_Noir,22,22Mpt1,NA,2006,21/3/06,26/3/06,8/8/06,6/9/06
Aramon_Noir,22,22Mpt1,NA,2007,8/3/07,19/5/07,1/8/07,29/8/07
Aramon_Noir,22,22Mpt1,NA,2008,1/3/08,22/5/08,7/8/08,28/8/08
Aramon_Noir,22,22Mpt1,NA,2009,10/3/09,26/5/09,28/7/09,18/8/09
Aramon_Noir,22,22Mpt2,NA,1956,27/3/56,NA,NA,24/9/56
Aramon_Noir,22,22Mpt2,NA,1957,16/3/57,NA,NA,NA
Aramon_Noir,22,22Mpt2,NA,1958,26/3/58,NA,NA,10/9/58
Aramon_Noir,22,22Mpt2,NA,1959,16/3/59,NA,NA,12/9/59
Aramon_Noir,22,22Mpt2,NA,1960,16/3/60,NA,NA,5/9/60
Aramon_Noir,22,22Mpt2,NA,1976,NA,NA,9/8/76,NA
Aramon_Noir,22,22Mpt2,NA,1977,NA,NA,17/8/77,NA
Aramon_Noir,22,22Mpt2,NA,1978,NA,NA,16/8/78,NA
Aramon_Noir,22,22Mpt2,NA,1981,22/3/81,NA,NA,NA
Aramon_Noir,22,22Mpt2,NA,1983,21/3/83,NA,NA,NA
Aramon_Noir,22,22Mpt2,NA,1986,24/3/86,8/6/87,6/8/87,NA
Aramon_Noir,22,22Mpt2,NA,1988,15/3/88,3/6/88,5/8/88,12/9/88
Aramon_Noir,22,22Mpt2,NA,1989,NA,26/5/89,1/8/89,NA
Aramon_Noir,22,22Mpt2,NA,1990,NA,24/5/90,30/7/90,NA
Aramon_Noir,22,22Mpt2,NA,1991,NA,6/6/91,13/8/91,NA
Aramon_Noir,22,22Mpt2,NA,1992,NA,28/5/92,4/8/92,NA
Aramon_Noir,22,22Mpt2,NA,1994,NA,26/5/94,1/8/94,NA
Aramon_Noir,22,22Mpt2,NA,1996,NA,NA,5/8/96,NA
Aramon_Noir,22,22Mpt2,NA,1997,3/3/97,17/5/97,4/8/97,8/9/97
Aramon_Noir,22,22Mpt2,NA,1998,17/3/98,27/5/98,4/8/98,10/9/98
Aramon_Noir,22,22Mpt2,NA,1999,18/3/99,27/5/99,9/8/99,15/9/99
Aramon_Noir,22,22Mpt2,NA,2000,18/3/00,29/5/00,7/8/00,4/9/00
Aramon_Noir,22,22Mpt2,NA,2001,10/3/01,27/5/01,6/8/01,28/8/01
Aramon_Noir,22,22Mpt2,NA,2002,13/3/02,27/5/02,1/8/02,30/8/02
Aramon_Noir,22,22Mpt2,NA,2003,24/3/03,30/5/03,5/8/03,27/8/03
Aramon_Noir,22,22Mpt2,NA,2004,21/3/04,4/6/04,12/8/04,31/8/04
Aramon_Noir,22,22Mpt2,NA,2005,4/4/05,3/6/05,8/8/05,6/9/05
Aramon_Noir,22,22Mpt2,NA,2006,26/3/06,28/5/06,4/8/06,6/9/06
Aramon_Noir,22,22Mpt2,NA,2007,7/3/07,19/5/07,24/7/07,29/8/07
Aramon_Noir,22,22Mpt2,NA,2008,6/3/08,25/5/08,7/8/08,3/9/08
Aramon_Noir,22,22Mpt2,NA,2009,15/3/09,26/5/09,27/7/09,24/8/09
Aramon_Noir,22,22Mpt2,NA,2010,24/3/10,31/5/10,2/8/10,10/9/10
Aramon_Noir,22,22Mpt2,NA,2011,12/3/11,17/5/11,28/7/11,12/9/11
Aramon_Noir,22,22Mpt2,NA,2012,19/3/12,28/5/12,1/8/12,6/9/12
Aramon_Noir,22,22Mpt2,NA,2013,20/3/13,6/6/13,12/8/13,NA
Aramon_Noir,22,22Mpt3,NA,1956,27/3/56,NA,NA,24/9/56
Aramon_Noir,22,22Mpt3,NA,1957,13/3/57,NA,NA,23/9/57
Aramon_Noir,22,22Mpt3,NA,1958,26/3/58,NA,NA,10/9/58
Aramon_Noir,22,22Mpt3,NA,1959,17/3/59,NA,NA,12/9/59
Aramon_Noir,22,22Mpt3,NA,1960,15/3/60,NA,NA,5/9/60
Aramon_Noir,22,22Mpt3,NA,1976,NA,NA,12/8/76,NA
Aramon_Noir,22,22Mpt3,NA,1977,NA,NA,16/8/77,NA
Aramon_Noir,22,22Mpt3,NA,1978,NA,NA,16/8/78,NA
Aramon_Noir,22,22Mpt3,NA,1981,21/3/81,NA,NA,NA
Aramon_Noir,22,22Mpt3,NA,1983,24/3/83,NA,NA,NA
Aramon_Noir,22,22Mpt3,NA,1986,23/3/86,NA,NA,NA
Aramon_Noir,22,22Mpt3,NA,1988,14/3/88,31/5/88,5/8/88,12/9/88
Aramon_Noir,22,22Mpt3,NA,1989,NA,24/5/89,1/8/89,NA
Aramon_Noir,22,22Mpt3,NA,1990,NA,23/5/90,25/7/90,NA
Aramon_Noir,22,22Mpt3,NA,1991,NA,3/6/91,13/8/91,NA
Aramon_Noir,22,22Mpt3,NA,1992,NA,28/5/92,4/8/92,NA
Aramon_Noir,22,22Mpt3,NA,1994,NA,26/5/94,1/8/94,NA
Aramon_Noir,22,22Mpt3,NA,1995,13/3/95,2/6/95,10/8/95,11/9/95
Aramon_Noir,22,22Mpt4,NA,1956,27/3/56,NA,NA,24/9/56
Aramon_Noir,22,22Mpt4,NA,1957,9/3/57,NA,NA,23/9/57
Aramon_Noir,22,22Mpt4,NA,1958,26/3/58,NA,NA,10/9/58
Aramon_Noir,22,22Mpt4,NA,1959,13/3/59,NA,NA,12/9/59
Aramon_Noir,22,22Mpt4,NA,1960,14/3/60,NA,NA,5/9/60
Aramon_Noir,22,22Mpt4,NA,1976,NA,NA,5/8/76,NA
Aramon_Noir,22,22Mpt4,NA,1977,NA,NA,16/8/77,NA
Aramon_Noir,22,22Mpt4,NA,1978,NA,NA,16/8/78,NA
Aramon_Noir,22,22Mpt4,NA,1981,26/3/81,NA,NA,NA
Aramon_Noir,22,22Mpt4,NA,1983,22/3/83,NA,NA,NA
Aramon_Noir,22,22Mpt4,NA,1986,24/3/86,NA,NA,NA
Aramon_Noir,22,22Mpt4,NA,1988,21/3/88,31/5/88,5/8/88,19/9/88
Aramon_Noir,22,22Mpt4,NA,1989,NA,NA,NA,NA
Aramon_Noir,22,22Mpt4,NA,1990,NA,NA,NA,NA
Aramon_Noir,22,22Mpt4,NA,1991,NA,3/6/91,13/8/91,NA
Aramon_Noir,22,22Mpt4,NA,1992,NA,28/5/92,4/8/92,NA
Aramon_Noir,22,22Mpt4,NA,1994,NA,26/5/94,1/8/94,NA
Aramon_Noir,22,22Mpt4,NA,1995,16/3/95,2/6/95,10/8/95,11/9/95
Aramon_Noir,22,22Mpt4,NA,1996,NA,3/6/96,NA,NA
Aramon_Noir,22,22Mpt5,NA,1956,29/3/56,NA,NA,24/9/56
Aramon_Noir,22,22Mpt5,NA,1957,13/3/57,NA,NA,1/10/57
Aramon_Noir,22,22Mpt5,NA,1958,26/3/58,NA,NA,10/9/58
Aramon_Noir,22,22Mpt5,NA,1959,17/3/59,NA,NA,12/9/59
Aramon_Noir,22,22Mpt5,NA,1960,12/3/60,NA,NA,5/9/60
Aramon_Noir,22,22Mpt5,NA,1976,NA,NA,12/8/76,NA
Aramon_Noir,22,22Mpt5,NA,1977,NA,NA,16/8/77,NA
Aramon_Noir,22,22Mpt5,NA,1978,NA,NA,16/8/78,NA
Aramon_Noir,22,22Mpt5,NA,1981,25/3/81,NA,NA,NA
Aramon_Noir,22,22Mpt5,NA,1983,22/3/83,NA,NA,NA
Aramon_Noir,22,22Mpt5,NA,1986,23/3/86,NA,NA,NA
Aramon_Noir,22,22Mpt5,NA,1987,NA,6/6/87,6/8/87,NA
Aramon_Noir,22,22Mpt5,NA,1988,21/3/88,1/6/88,1/8/88,19/9/88
Aramon_Noir,22,22Mpt5,NA,1995,20/3/95,2/6/95,16/8/95,11/9/95
